Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills,Company,No_of_Reviews,No_of_Stars,Location,Company_Revenue,Company_Employees,Company_Industry,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
"Data Engineer – Data Warehouse, Analytics & BI",120000-139999,data_engineer,"['Pentaho', 'R', 'Azure', 'SQL', 'Java', 'PL/SQL', 'Data Warehouse', 'Python']",8,UBS,1674,4,NY,Missing,"10,000+",Banks and Financial Services,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sr. Data Engineer,120000-139999,data_engineer,"['Hive', 'Machine Learning', 'Project Management', 'R', 'C/C++', 'SQL', 'Big Data', 'PostgreSQL', 'Scripting', 'Hadoop', 'Scala', 'Kafka', 'Java', 'Predictive Analytics', 'Cassandra', 'Spark', 'Data Warehouse', 'NoSQL', 'Python', 'AWS']",20,"J. Crew Group, Inc.",795,4,NY,Missing,missing,Retail,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Azure Big Data Engineer,120000-139999,data_engineer,"['Spark', 'Design Experience', 'Hadoop', 'NoSQL', 'Azure', 'Scala', 'Python', 'SQL']",8,,14988,4,PA,Missing,missing,Not Listed,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sr. Data Engineer,120000-139999,data_engineer,"['Microsoft SQL Server', 'Data Warehouse', 'SQL']",3,United Fire Group,33,4,IA,Less than $1B (USD),"Less than 10,000",Insurance,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Data Engineer,120000-139999,data_engineer,"['Hive', 'Ruby', 'Hadoop', 'Scripting', 'Perl', 'Google Cloud Platform', 'Azure', 'Oracle', 'SQL', 'Big Data', 'PL/SQL', 'MySQL', 'Alteryx', 'Data Warehouse', 'Informatica', 'Python', 'AWS']",17,Slalom Consulting,52,4,WA,Missing,missing,Consulting and Business Services,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Sr. Data Engineer,120000-139999,data_engineer,"['Microsoft SQL Server', 'SDLC', 'Oracle', 'Java', 'MySQL', 'Unit Testing']",6,WestRock,1378,3,GA,More than $10B (USD),"10,000+",Industrial Manufacturing,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Senior Data Engineer,120000-139999,data_engineer,"['Technical Writing', 'Scripting', 'SQL', 'Excel', 'Tableau', 'Java', 'Big Data', 'Confluence', 'MySQL', 'Python', 'Jira']",11,Sony Interactive Entertainment PlayStation,34,4,CA,Missing,missing,Computers and Electronics,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Application Data Engineer, Business Intelligence, Google Clo...",120000-139999,data_engineer,"['Business Intelligence', 'Machine Learning', 'Scripting', 'Google Cloud Platform', 'SQL', 'Big Data', 'Python']",7,Google,2642,4,CA,More than $10B (USD),"10,000+",Internet and Software,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AWS Big Data Engineer,120000-139999,data_engineer,"['Linux', 'Hive', 'Hadoop', 'Splunk', 'Java', 'S3', 'Spark', 'CI', 'Shell Scripting', 'Python', 'Jenkins', 'AWS']",12,Vanguard,741,4,PA,Missing,"10,000+",Banks and Financial Services,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Oath Analytics Data Engineer,120000-139999,data_engineer,"['Pig', 'JavaScript', 'Hive', 'Time Management', 'Hadoop', 'SQL', 'HTML5', 'Tableau', 'Spark', 'Data Warehouse', 'CSS', 'Python', 'PHP']",13,Oath Inc,33,4,NY,Missing,missing,Telecommunications,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Data Engineer,120000-139999,data_engineer,"['Project Management', 'Hadoop', 'Scripting', 'Azure', 'Kafka', 'Scala', 'C/C++', 'SQL', 'Big Data', 'Java', 'Cassandra', 'Spark', 'NoSQL', 'PostgreSQL', 'Python', 'AWS']",16,Augmedix Inc.,0,0,Missing,Missing,missing,Not Listed,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
